ipa,pos,translation,grammar,derivation,notes
patir,n,père,nom,racine,couverture ciblée
staxul,n,monde,nom,racine,couverture ciblée
xirpak,v,montrer,radical verbal,racine,couverture ciblée
xirpakar,n,celui qui montre,nom,xirpak + -ar (agentif),couverture ciblée (dérivé)
spilak,n,ville,nom,racine,couverture ciblée
trimax,v,gagner/vaincre,radical verbal,racine,couverture ciblée
trimaxut,n,victoire,nom,trimax + -ut (résultatif),couverture ciblée (dérivé)
tulpan,n,semaine,nom,racine,couverture ciblée
kranik,v,acheter,radical verbal,racine,couverture ciblée
kranikar,n,acheteur,nom,kranik + -ar (agentif),couverture ciblée (dérivé)
ralsum,n,chambre,nom,racine,couverture ciblée
spikus,n,côté,nom,racine,couverture ciblée
xulpam,v,rappeler,radical verbal,racine,couverture ciblée
stimal,v,lire,radical verbal,racine,couverture ciblée
stimalar,n,lecteur,nom,stimal + -ar (agentif),couverture ciblée (dérivé)
kirnax,n,mot,nom,racine,couverture ciblée
prixul,n,salut,nom,racine,couverture ciblée
kʼasum,v.stat,être désolé/triste,verbe statif,racine,couverture ciblée
xampir,v,quitter,radical verbal,racine,couverture ciblée
spulak,n,police,nom,racine,couverture ciblée
spulakar,n,policier,nom,spulak + -ar (agentif),couverture ciblée (dérivé)
stalun,n,matin,nom,racine,couverture ciblée
tulmax,v,emmener,radical verbal,racine,couverture ciblée
tulmaxar,n,celui qui emmène,nom,tulmax + -ar (agentif),couverture ciblée (dérivé)
prulim,v.stat,être gros/grand,verbe statif,racine,couverture ciblée
stimax,v,revoir,radical verbal,racine,couverture ciblée
xalpin,v,importer,radical verbal,racine,couverture ciblée
patun,n,papa,nom,racine,couverture ciblée
stakul,n,train,nom,racine,couverture ciblée
krasum,v,raconter,radical verbal,racine,couverture ciblée
krasumar,n,narrateur,nom,krasum + -ar (agentif),couverture ciblée (dérivé)
stilup,n,film,nom,racine,couverture ciblée
xirsum,v,répondre,radical verbal,racine,couverture ciblée
spalun,n,garçon,nom,racine,couverture ciblée
ktis,v,tuer,radical verbal,racine,couverture ciblée
ktisar,n,tueur,nom,ktis + -ar (agentif),couverture ciblée (dérivé)
primal,v.stat,être heureux,verbe statif,racine,couverture ciblée
primalas,n,bonheur,nom,primal + -as (abstrait),couverture ciblée (dérivé)
krast,v,voler (dérober),radical verbal,racine,couverture ciblée
krastar,n,voleur,nom,krast + -ar (agentif),couverture ciblée (dérivé)
prist,v,valoir,radical verbal,racine,couverture ciblée
stimul,n,docteur,nom,racine,couverture ciblée
xirmal,n,"façon, manière",nom,racine,couverture ciblée
trilk,v.stat,être nouveau,verbe statif,racine,couverture ciblée
trilkas,n,nouveauté,nom,trilk + -as (abstrait),couverture ciblée (dérivé)
prakil,v,"sembler, paraître",radical verbal,racine,couverture ciblée
kalim,v.stat,être joli,verbe statif,racine,couverture ciblée
kalimas,n,beauté,nom,kalim + -as (abstrait),couverture ciblée (dérivé)
krunt,n,guerre,nom,racine,couverture ciblée
kruntar,n,guerrier,nom,krunt + -ar (agentif),couverture ciblée (dérivé)
prisum,n,"genre, type",nom,racine,couverture ciblée
klipan,v,marier,radical verbal,racine,couverture ciblée
xikum,n,"cause, raison",nom,racine,couverture ciblée
spiluk,n,"endroit, lieu",nom,racine,couverture ciblée
prux,n,"ordure, merde",nom,racine,couverture ciblée
stalam,v,inquiéter,radical verbal,racine,couverture ciblée
klirut,v,"apporter, amener",radical verbal,racine,couverture ciblée
klirutar,n,porteur,nom,klirut + -ar (agentif),couverture ciblée (dérivé)
xalsum,n,"photo, image",nom,racine,couverture ciblée
stipun,n,école,nom,racine,couverture ciblée
stipunar,n,écolier,nom,stipun + -ar (agentif),couverture ciblée (dérivé)
spiral,v.stat,"être cher, coûteux",verbe statif,racine,couverture ciblée
spiralas,n,"cherté, prix",nom,spiral + -as (abstrait),couverture ciblée (dérivé)
mirlas,v,"rencontrer, croiser",radical verbal,racine,couverture ciblée
halus,n,coeur,nom,racine,couverture ciblée
stuls,v,"fermer, clore",radical verbal,racine,couverture ciblée
sikat,v.stat,"être bon, aller bien, ok",verbe statif,racine,couverture ciblée
prils,v,"suffire, être assez",radical verbal,racine,couverture ciblée
tikum,v,"compter, calculer",radical verbal,racine,couverture ciblée
tikumar,n,comptable,nom,tikum + -ar (agentif),couverture ciblée (dérivé)
klipur,v.stat,"être meilleur, supérieur",verbe statif,racine,couverture ciblée
multik,n,"reste, résidu",nom,racine,couverture ciblée
stirul,v,"bouger, se mouvoir",radical verbal,racine,couverture ciblée
kratun,n,"boulot / travail, emploi",nom,racine,couverture ciblée
kratunar,n,travailleur,nom,kratun + -ar (agentif),couverture ciblée (dérivé)
kalsum,v,"expliquer, clarifier",radical verbal,racine,couverture ciblée
kalsumar,n,explicateur,nom,kalsum + -ar (agentif),couverture ciblée (dérivé)
klimur,v,"imaginer, concevoir",radical verbal,racine,couverture ciblée
murlis,v,"adorer, aimer profondément",radical verbal,racine,couverture ciblée
haltin,v.stat,"être gentil, bienveillant",verbe statif,racine,couverture ciblée
sparum,v,"jeter, lancer",radical verbal,racine,couverture ciblée
prinal,n,"bébé, nourrisson",nom,racine,couverture ciblée
hilsum,n,"nouvelle, information",nom,racine,couverture ciblée
lurpin,n,"plaisir, satisfaction",nom,racine,couverture ciblée
stiral,v,"promettre, s'engager",radical verbal,racine,couverture ciblée
manul,n,soeur,nom,racine,couverture ciblée
plasuk,n,"lit, couche",nom,racine,couverture ciblée
krulim,v,"préférer, choisir de préférence",radical verbal,racine,couverture ciblée
pralim,v,"offrir, présenter en don",radical verbal,racine,couverture ciblée
pralimut,n,"cadeau, offrande",nom,pralim + -ut (résultatif),couverture ciblée (dérivé)
klip,v,"battre, frapper",radical verbal,racine,couverture ciblée
klipar,n,celui qui frappe,nom,klip + -ar (agentif),couverture ciblée (dérivé)
mirax,v,pleurer,radical verbal,racine,couverture ciblée
kalux,v.stat,"pauvre, démuni",verbe statif,racine,couverture ciblée
kaluxas,n,pauvreté,nom,kalux + -as (abstrait),couverture ciblée (dérivé)
stank,n,"roi, monarque",nom,racine,couverture ciblée
kirax,n,verre (matière),nom,racine,couverture ciblée
xalp,n,"journée, jour",nom,racine,couverture ciblée
sampir,n,"numéro, chiffre",nom,racine,couverture ciblée
malup,v.stat,"aimé, chéri",verbe statif,racine,couverture ciblée
stipan,v,"lâcher, relâcher",radical verbal,racine,couverture ciblée
pilam,n,"bureau, table de travail",nom,racine,couverture ciblée
xarpin,n,café (boisson/lieu),nom,racine,couverture ciblée
murlax,n,"confiance, foi",nom,racine,couverture ciblée
stalax,n,"bonsoir, soirée",nom,racine,couverture ciblée
tulsan,n,"compte, calcul",nom,racine,couverture ciblée
prulak,n,"téléphone, appareil de communication",nom,racine,couverture ciblée
halax,v.stat,"facile, simple",verbe statif,racine,couverture ciblée
halaxas,n,facilité,nom,halax + -as (abstrait),couverture ciblée (dérivé)
mipul,n,"rêve, vision onirique",nom,racine,couverture ciblée
klurax,n,"attention, vigilance",nom,racine,couverture ciblée
marak,v.stat,"content, heureux",verbe statif,racine,couverture ciblée
klurut,v,"réveiller, éveiller",radical verbal,racine,couverture ciblée
prulat,v,"ramener, rapporter",radical verbal,racine,couverture ciblée
kirtan,n,"faute, erreur",nom,racine,couverture ciblée
xirpul,v,"disparaître, s'évanouir",radical verbal,racine,couverture ciblée
pranul,v.stat,"prochain, imminent",verbe statif,racine,couverture ciblée
malsin,n,"copain, ami",nom,racine,couverture ciblée
stipul,n,"rue, voie",nom,racine,couverture ciblée
hartil,n,"lettre, caractère écrit",nom,racine,couverture ciblée
trilax,v.stat,"super, excellent",verbe statif,racine,couverture ciblée
xartal,n,"capitaine, chef",nom,racine,couverture ciblée
pilnut,n,"pièce, chambre",nom,racine,couverture ciblée
kramir,v.stat,"difficile, ardu",verbe statif,racine,couverture ciblée
pratin,v,"jurer, faire serment",radical verbal,racine,couverture ciblée
xarsin,n,"prison, geôle",nom,racine,couverture ciblée
trulak,v,"remettre, confier",radical verbal,racine,couverture ciblée
mapul,n,"carte, plan",nom,racine,couverture ciblée
halnis,n,"paix, tranquillité",nom,racine,couverture ciblée
kirlax,v.stat,"drôle, amusant",verbe statif,racine,couverture ciblée
xaltun,n,"président, chef d'État",nom,racine,couverture ciblée
stirax,n,"cours, leçon",nom,racine,couverture ciblée
pramil,v.stat,"grave, sérieux",verbe statif,racine,couverture ciblée
praluk,v,"sauver, préserver",radical verbal,racine,couverture ciblée
pralukar,n,sauveur,nom,praluk + -ar (agentif),couverture ciblée (dérivé)
kulap,n,"pays, territoire",nom,racine,couverture ciblée
tulmak,n,"agent de police, flic",nom,racine,couverture ciblée
hulpin,n,"arrière, cul",nom,racine,couverture ciblée
xirpum,n,"âme, esprit",nom,racine,couverture ciblée
tulnik,n,"patron, chef",nom,racine,couverture ciblée
klimax,v,"amuser, divertir",radical verbal,racine,couverture ciblée
klimaxas,n,amusement,nom,klimax + -as (abstrait),couverture ciblée (dérivé)
silmuk,n,"visage, figure",nom,racine,couverture ciblée
kalnik,n,"rapport, relation",nom,racine,couverture ciblée
kilmak,n,"avis, opinion",nom,racine,couverture ciblée
klurip,v.stat,"différent, autre",verbe statif,racine,couverture ciblée
spulim,v.stat,"génial, brillant",verbe statif,racine,couverture ciblée
prumak,v.stat,"libre, affranchi",verbe statif,racine,couverture ciblée
xulpim,n,"dollar, monnaie",nom,racine,couverture ciblée
klimul,v.stat,"pareil, identique",verbe statif,racine,couverture ciblée
hulmak,n,"hôpital, infirmerie",nom,racine,couverture ciblée
sparim,v,"réussir, accomplir",radical verbal,racine,couverture ciblée
klipum,v.stat,"bizarre, étrange",verbe statif,racine,couverture ciblée
pralun,n,"honneur, dignité",nom,racine,couverture ciblée
stilak,n,"équipe, groupe",nom,racine,couverture ciblée
kulim,n,"cheval, monture",nom,racine,couverture ciblée
klisap,v,"permettre, autoriser",radical verbal,racine,couverture ciblée
klisapar,n,celui qui permet,nom,klisap + -ar (agentif),couverture ciblée (dérivé)
tilsum,v,"calmer, apaiser",radical verbal,racine,couverture ciblée
prulnik,v,"intéresser, captiver",radical verbal,racine,couverture ciblée
prulnikus,v.stat,être intéressé par,verbe statif,prulnik + -us (désidératif),couverture ciblée (dérivé)
klirax,v,"reconnaître, identifier",radical verbal,racine,couverture ciblée
prantul,v,"embrasser, étreindre",radical verbal,racine,couverture ciblée
stalir,v,danser,radical verbal,racine,couverture ciblée
stalirar,n,danseur,nom,stalir + -ar (agentif),couverture ciblée (dérivé)
skirax,v,"prévenir, avertir",radical verbal,racine,couverture ciblée
klapur,n,avion,nom,racine,couverture ciblée
staxir,v.stat,"être normal, usuel",verbe statif,racine,couverture ciblée
klirtan,v,"déranger, perturber",radical verbal,racine,couverture ciblée
praxil,v,"reprendre, saisir à nouveau",radical verbal,racine,couverture ciblée
stulmax,n,"retard, délai",nom,racine,couverture ciblée
krutax,v,"détruire, anéantir",radical verbal,racine,couverture ciblée
krutaxut,n,"chose détruite, ruine",nom,krutax + -ut (résultatif),couverture ciblée (dérivé)
pramin,n,"face, surface frontale",nom,racine,couverture ciblée
kliprax,n,"gueule, bouche",nom,racine,couverture ciblée
kraslum,n,"million, grand nombre",nom,racine,couverture ciblée
pralnik,n,"sac, sachet",nom,racine,couverture ciblée
stirmax,n,"seconde, instant",nom,racine,couverture ciblée
sparul,v,"découvrir, révéler",radical verbal,racine,couverture ciblée
sparulut,n,découverte,nom,sparul + -ut (résultatif),couverture ciblée (dérivé)
klirpum,v,"rêver, songer",radical verbal,racine,couverture ciblée
klirpumut,n,rêve,nom,klirpum + -ut (résultatif),couverture ciblée (dérivé)
stalunk,v,"détester, abhorer",radical verbal,racine,couverture ciblée
trimul,v.stat,"con / être bête, sot",verbe statif,racine,couverture ciblée
ktisrap,v,"empêcher, bloquer",radical verbal,racine,couverture ciblée
klisul,v.stat,"être général, universel",verbe statif,racine,couverture ciblée
piluk,n,"balle, sphère",nom,racine,couverture ciblée
stalip,v,"maintenir, tenir en place",radical verbal,racine,couverture ciblée
siluk,n,"cheveu, fil",nom,racine,couverture ciblée
klipul,n,"papier, feuille",nom,racine,couverture ciblée
stirup,n,"sujet, thème",nom,racine,couverture ciblée
pramut,v,"supposer, présumer",radical verbal,racine,couverture ciblée
xilpam,v.stat,"être tranquille, calme",verbe statif,racine,couverture ciblée
klipam,v.stat,être blanc,verbe statif,racine,couverture ciblée
klirsum,n,"message, communication",nom,racine,couverture ciblée
stulap,n,"salle, chambre",nom,racine,couverture ciblée
klisup,n,"espèce, sorte",nom,racine,couverture ciblée
primarx,n,"propos, parole",nom,racine,couverture ciblée
pramul,n,"camp, établissement",nom,racine,couverture ciblée
klirpam,n,"hôtel, logement",nom,racine,couverture ciblée
tilpak,n,"jambe, membre inférieur",nom,racine,couverture ciblée
pristuk,v,"remercier, exprimer sa gratitude",radical verbal,racine,couverture ciblée
klisak,n,"sécurité, protection",nom,racine,couverture ciblée
primul,v,"baiser, embrasser",radical verbal,racine,couverture ciblée
kliral,v,"attraper, saisir",radical verbal,racine,couverture ciblée
krimal,v,ressembler à,radical verbal,racine,couverture ciblée
klipas,n,"bout, extrémité",nom,racine,couverture ciblée
pranit,v,pousser,radical verbal,racine,couverture ciblée
pranitar,n,celui qui pousse,nom,pranit + -ar (agentif),couverture ciblée (dérivé)
tralim,v,approcher,radical verbal,racine,couverture ciblée
harnik,v,"dépêcher, envoyer vite",radical verbal,racine,couverture ciblée
xurtal,n,or (métal),nom,racine,couverture ciblée
klirpan,n,"loi, règle",nom,racine,couverture ciblée
talrik,n,"fond, base",nom,racine,couverture ciblée
xilmark,n,"argent, fric",nom,racine,couverture ciblée
tulpim,n,"accident, choc",nom,racine,couverture ciblée
klispur,n,"scène, tableau",nom,racine,couverture ciblée
kramul,n,"soldat, combattant",nom,racine,couverture ciblée
stirpul,v.stat,être amoureux,verbe statif,racine,couverture ciblée
trikam,v,"assurer, garantir",radical verbal,racine,couverture ciblée
trikamar,n,assureur,nom,trikam + -ar (agentif),couverture ciblée (dérivé)
primak,n,"humain, personne",nom,racine,couverture ciblée
xalrik,n,"mer, océan",nom,racine,couverture ciblée
klurpin,n,"silence, absence de bruit",nom,racine,couverture ciblée
stirpak,n,télé / télévision,nom,racine,couverture ciblée
tulrik,n,victime,nom,racine,couverture ciblée
klipran,n,pute / prostituée,nom,racine,couverture ciblée
kʼaprimas,v.stat,être impossible,verbe statif,racine,couverture ciblée
stinut,n,"effet, résultat",nom,racine,couverture ciblée
stixul,v,"filer, s'enfuir",radical verbal,racine,couverture ciblée
praxul,v,risquer,radical verbal,racine,couverture ciblée
praxulas,n,"risque, danger",nom,praxul + -as (abstrait),couverture ciblée (dérivé)
kranit,n,appel,nom,racine,couverture ciblée
kranitar,n,celui qui appelle,nom,kranit + -ar (agentif),couverture ciblée (dérivé)
spilam,n,visite,nom,racine,couverture ciblée
spilamar,n,visiteur,nom,spilam + -ar (agentif),couverture ciblée (dérivé)
stikalp,v,attaquer,radical verbal,racine,couverture ciblée
stikalpar,n,attaquant,nom,stikalp + -ar (agentif),couverture ciblée (dérivé)
krinal,n,"coin, angle",nom,racine,couverture ciblée
xilmak,v.stat,"être pire, plus mauvais",verbe statif,racine,couverture ciblée
stalix,n,professeur,nom,racine,couverture ciblée
klirpul,v,répéter,radical verbal,racine,couverture ciblée
klirpular,n,celui qui répète,nom,klirpul + -ar (agentif),couverture ciblée (dérivé)
klirap,v,inviter,radical verbal,racine,couverture ciblée
klirapar,n,celui qui invite,nom,klirap + -ar (agentif),couverture ciblée (dérivé)
kranul,n,choix,nom,racine,couverture ciblée
xirtal,n,avocat,nom,racine,couverture ciblée
stimar,n,client,nom,racine,couverture ciblée
xilpark,n,situation,nom,racine,couverture ciblée
trikax,n,crime,nom,racine,couverture ciblée
trikaxar,n,criminel,nom,trikax + -ar (agentif),couverture ciblée (dérivé)
spirak,v,fumer,radical verbal,racine,couverture ciblée
spirakar,n,fumeur,nom,spirak + -ar (agentif),couverture ciblée (dérivé)
xirpam,v,signer,radical verbal,racine,couverture ciblée
spirul,n,réponse,nom,racine,couverture ciblée
xilpum,v,rejoindre,radical verbal,racine,couverture ciblée
praxim,v,discuter,radical verbal,racine,couverture ciblée
praximar,n,discutant,nom,praxim + -ar (agentif),couverture ciblée (dérivé)
xilrik,n,village,nom,racine,couverture ciblée
kartul,n,"journal, récit écrit",nom,racine,couverture ciblée
kartular,n,journaliste,nom,kartul + -ar (agentif),couverture ciblée (dérivé)
klipun,n,"enfant, gosse",nom,racine,couverture ciblée
xamul,n,"meurtre, tuerie",nom,racine,couverture ciblée
xamular,n,meurtrier,nom,xamul + -ar (agentif),couverture ciblée (dérivé)
turlix,v,"blesser, faire mal",radical verbal,racine,couverture ciblée
turlixut,n,blessure,nom,turlix + -ut (résultatif),couverture ciblée (dérivé)
praxun,n,"colonel, officier supérieur",nom,racine,couverture ciblée
stirpun,v,"dégager, libérer",radical verbal,racine,couverture ciblée
krumax,v.stat,être dangereux,verbe statif,racine,couverture ciblée
klirpax,n,"armée, troupe",nom,racine,couverture ciblée
klirpaxar,n,soldat,nom,klirpax + -ar (agentif),couverture ciblée (dérivé)
kramun,v,"mener, conduire",radical verbal,racine,couverture ciblée
kramunar,n,"meneur, chef",nom,kramun + -ar (agentif),couverture ciblée (dérivé)
halurs,n,"bordel, mauvais état",nom,racine,couverture ciblée
praxum,v,"mériter, gagner",radical verbal,racine,couverture ciblée
praxumut,n,"mérite, récompense",nom,praxum + -ut (résultatif),couverture ciblée (dérivé)
kruxal,n,"diable, démon",nom,racine,couverture ciblée
prulam,n,"exemple, modèle",nom,racine,couverture ciblée
prulamil,n,"exemplaire, copie",nom,prulam + -il (instrumental),couverture ciblée (dérivé)
stiralp,n,"rendez-vous / rendez-vous, rencontre convenue",nom,racine,couverture ciblée
stirpam,n,"impression, sentiment",nom,racine,couverture ciblée
xilpan,n,"mur, rempart",nom,racine,couverture ciblée
pratal,v.stat,"être possible, pouvoir advenir",verbe statif,racine,couverture ciblée
kirpal,n,"prince, chef noble",nom,racine,couverture ciblée
kirpalar,n,celui qui règne,nom,kirpal + -ar (agentif),couverture ciblée (dérivé)
praxut,v,"enfoncer, planter, ficher",radical verbal,racine,couverture ciblée
praxutil,n,outil à enfoncer,nom,praxut + -il (instrumental),couverture ciblée (dérivé)
klisam,n,"bêtise, connerie",nom,racine,couverture ciblée
tramis,v,"obliger, contraindre",radical verbal,racine,couverture ciblée
tramisut,n,obligation imposée,nom,tramis + -ut (résultatif),couverture ciblée (dérivé)
klimup,v.stat,"être idiot, bête",verbe statif,racine,couverture ciblée
klimupas,n,"idiotie, bêtise",nom,klimup + -as (abstrait),couverture ciblée (dérivé)
sturip,v,"regretter, se repentir",radical verbal,racine,couverture ciblée
kilpum,n,"boîte, récipient",nom,racine,couverture ciblée
kilpumil,n,petite boîte,nom,kilpum + -il (instrumental),couverture ciblée (dérivé)
spatun,v,"dîner, prendre le repas du soir",radical verbal,racine,couverture ciblée
spatunut,n,"le dîner, le repas",nom,spatun + -ut (résultatif),couverture ciblée (dérivé)
tripax,v,"couvrir, recouvrir",radical verbal,racine,couverture ciblée
tripaxil,n,"couverture, voile",nom,tripax + -il (instrumental),couverture ciblée (dérivé)
praxis,v.stat,"être magnifique, splendide",verbe statif,racine,couverture ciblée
praxisas,n,"splendeur, magnificence",nom,praxis + -as (abstrait),couverture ciblée (dérivé)
kartum,v,"obtenir, acquérir",radical verbal,racine,couverture ciblée
kartumut,n,ce qu'on obtient,nom,kartum + -ut (résultatif),couverture ciblée (dérivé)
xirpal,n,"salaud, mauvais sujet",nom,racine,couverture ciblée
klimis,v,"plaisanter, blaguer",radical verbal,racine,couverture ciblée
klimisut,n,"plaisanterie, blague",nom,klimis + -ut (résultatif),couverture ciblée (dérivé)
spilun,n,"vin, boisson fermentée",nom,racine,couverture ciblée
tritum,v,"virer, tourner, renvoyer",radical verbal,racine,couverture ciblée
xilpun,n,"chanson, mélodie chantée",nom,racine,couverture ciblée
spalim,n,"pote, ami copain",nom,racine,couverture ciblée
praxuk,n,"habitude, coutume",nom,racine,couverture ciblée
praxukar,n,celui qui a l'habitude de,nom,praxuk + -ar (agentif),couverture ciblée (dérivé)
xirpan,n,"ennemi, adversaire",nom,racine,couverture ciblée
pramik,v,"accompagner, aller avec",radical verbal,racine,couverture ciblée
pramikar,n,"compagnon, celui qui accompagne",nom,pramik + -ar (agentif),couverture ciblée (dérivé)
hulnik,n,"enfer, lieu de souffrance",nom,racine,couverture ciblée
kilpax,n,"cuisine, art culinaire",nom,racine,couverture ciblée
kilpaxar,n,cuisinier,nom,kilpax + -ar (agentif),couverture ciblée (dérivé)
stimpul,v,"éviter, contourner",radical verbal,racine,couverture ciblée
kraxul,n,"mission, tâche assignée",nom,racine,couverture ciblée
kramuk,n,"poisson, créature aquatique",nom,racine,couverture ciblée
klirpak,n,"lieutenant, gradé militaire",nom,racine,couverture ciblée
klipax,v,"rater, manquer",radical verbal,racine,couverture ciblée
trilup,v,"retirer, enlever",radical verbal,racine,couverture ciblée
triluput,n,"retrait, chose retirée",nom,trilup + -ut (résultatif),couverture ciblée (dérivé)
ktilax,v.stat,"être exact, précis",verbe statif,racine,couverture ciblée
stirpin,v,"recommencer, reprendre",radical verbal,racine,couverture ciblée
klirat,n,"billet, ticket",nom,racine,couverture ciblée
halit,v.stat,"être moyen, ordinaire",verbe statif,racine,couverture ciblée
klunak,n,"vaisseau, navire",nom,racine,couverture ciblée
tramuk,n,"vol, action de voler",nom,racine,couverture ciblée
tramukar,n,voleur,nom,tramuk + -ar (agentif),couverture ciblée (dérivé)
kripak,v,"parier, miser",radical verbal,racine,couverture ciblée
skalim,n,"bière, boisson",nom,racine,couverture ciblée
halnim,n,"Mme / madame, femme",nom,racine,couverture ciblée
xiltum,v,"appartenir à, être propriété de",radical verbal,racine,couverture ciblée
stipak,v,"remarquer, noter",radical verbal,racine,couverture ciblée
stipakar,n,celui qui remarque,nom,stipak + -ar (agentif),couverture ciblée (dérivé)
spulun,n,"liberté, autonomie",nom,racine,couverture ciblée
krantul,n,"banque, établissement financier",nom,racine,couverture ciblée
pramun,v.stat,"être merveilleux, magnifique",verbe statif,racine,couverture ciblée
tulpun,v.stat,"être fier, orgueilleux",verbe statif,racine,couverture ciblée
xirpun,n,"dossier, chemise de documents",nom,racine,couverture ciblée
stirun,v,"ressentir, éprouver",radical verbal,racine,couverture ciblée
prunk,n,"but, objectif",nom,racine,couverture ciblée
spalum,v,"fatiguer, épuiser",radical verbal,racine,couverture ciblée
spalumus,v.stat,avoir besoin de repos,verbe statif,spalum + -us (désidératif),couverture ciblée (dérivé)
piltuk,n,"enfant, gamin",nom,racine,couverture ciblée
kiltan,n,"rendez-vous / rendez-vous, rencontre convenue",nom,racine,couverture ciblée
klipsul,v,"compris / comprendre, saisir",radical verbal,racine,couverture ciblée
klipsulut,n,"ce qui est compris, sens",nom,klipsul + -ut (résultatif),couverture ciblée (dérivé)
kaltup,n,"anniversaire, jour de naissance",nom,racine,couverture ciblée
tilpuk,n,"bord, limite, rive",nom,racine,couverture ciblée
tritax,v,"tenter, essayer",radical verbal,racine,couverture ciblée
tritaxar,n,"celui qui tente, aventurier",nom,tritax + -ar (agentif),couverture ciblée (dérivé)
kliput,n,"classe, catégorie, groupe",nom,racine,couverture ciblée
prisul,v.stat,"être capable, compétent",verbe statif,racine,couverture ciblée
prisulas,n,"capacité, compétence",nom,prisul + -as (abstrait),couverture ciblée (dérivé)
spaluk,n,"appartement, logement",nom,racine,couverture ciblée
stinal,v,"bosser, travailler dur",radical verbal,racine,couverture ciblée
stinalar,n,"celui qui bosse, travailleur",nom,stinal + -ar (agentif),couverture ciblée (dérivé)
klipuk,v,"récupérer, reprendre, regagner",radical verbal,racine,couverture ciblée
klipukut,n,chose récupérée,nom,klipuk + -ut (résultatif),couverture ciblée (dérivé)
haltam,n,"grand-père / grand-père, aïeul",nom,racine,couverture ciblée
stulim,n,"société, groupe social",nom,racine,couverture ciblée
xiruk,n,nez,nom,racine,couverture ciblée
kripul,n,"acteur, agent",nom,racine,couverture ciblée
xilpuk,v.stat,"être incroyable, extraordinaire",verbe statif,racine,couverture ciblée
xilpukas,n,"caractère incroyable, incroyabilité",nom,xilpuk + -as (abstrait),couverture ciblée (dérivé)
pralux,n,"rendez-vous / rendez-vous, point de rencontre",nom,racine,couverture ciblée
spalir,v.stat,"être spécial, distinctif",verbe statif,racine,couverture ciblée
spaliras,n,"caractère spécial, particularité",nom,spalir + -as (abstrait),couverture ciblée (dérivé)
klamur,v.stat,"ferme / être fermé, clos",verbe statif,racine,couverture ciblée
klamuril,n,"verrou, dispositif de fermeture",nom,klamur + -il (instrumental),couverture ciblée (dérivé)
stiruk,n,"joie, allégresse",nom,racine,couverture ciblée
kramut,n,grand-mère / grand-mère,nom,racine,couverture ciblée
trimak,v,"ravir, transporter de joie",radical verbal,racine,couverture ciblée
trimakas,n,"ravissement, extase",nom,trimak + -as (abstrait),couverture ciblée (dérivé)
priktum,n,"rendez-vous / rendez-vous, moment convenu",nom,racine,couverture ciblée
stulax,v,"régler, mettre en ordre",radical verbal,racine,couverture ciblée
stulaxar,n,celui qui règle,nom,stulax + -ar (agentif),couverture ciblée (dérivé)
klistup,n,"robe, vêtement",nom,racine,couverture ciblée
klipxun,n,"radio, transmission sonore",nom,racine,couverture ciblée
klirpun,v,"apprécier, évaluer",radical verbal,racine,couverture ciblée
klirpunas,n,"appréciation, valeur",nom,klirpun + -as (abstrait),couverture ciblée (dérivé)
priktux,n,"pitié, compassion",nom,racine,couverture ciblée
klirxul,v.stat,"entier, complet",verbe statif,racine,couverture ciblée
klirxulas,n,"intégrité, totalité",nom,klirxul + -as (abstrait),couverture ciblée (dérivé)
praltum,v,"laver, nettoyer",radical verbal,racine,couverture ciblée
praltumar,n,laveur,nom,praltum + -ar (agentif),couverture ciblée (dérivé)
staltum,n,"adresse, lieu",nom,racine,couverture ciblée
praltux,n,"chaussure, soulier",nom,racine,couverture ciblée
staltux,n,"avenir, futur",nom,racine,couverture ciblée
priksum,n,"laisse, corde",nom,racine,couverture ciblée
klirtum,v.stat,"gauche, maladroit",verbe statif,racine,couverture ciblée
praltun,v,"remonter, s'élever",radical verbal,racine,couverture ciblée
praltunut,n,ascension,nom,praltun + -ut (résultatif),couverture ciblée (dérivé)
stirtup,v,"réaliser, accomplir",radical verbal,racine,couverture ciblée
stirtuput,n,"réalisation, accomplissement",nom,stirtup + -ut (résultatif),couverture ciblée (dérivé)
krimul,v,"prévoir, anticiper",radical verbal,racine,couverture ciblée
krimular,n,celui qui prévoit,nom,krimul + -ar (agentif),couverture ciblée (dérivé)
hilpum,n,"camarade, compagnon",nom,racine,couverture ciblée
stiran,n,"recherche, quête",nom,racine,couverture ciblée
stiranar,n,chercheur,nom,stiran + -ar (agentif),couverture ciblée (dérivé)
klipak,n,bain,nom,racine,couverture ciblée
klipakil,n,baignoire,nom,klipak + -il (instrumental),couverture ciblée (dérivé)
titax,n,dent,nom,racine,couverture ciblée
hilmak,n,"mademoiselle, jeune fille",nom,racine,couverture ciblée
hiltup,n,"soin, attention",nom,racine,couverture ciblée
hiltupar,n,celui qui soigne,nom,hiltup + -ar (agentif),couverture ciblée (dérivé)
tramul,v,"étudier, apprendre",radical verbal,racine,couverture ciblée
tramular,n,étudiant,nom,tramul + -ar (agentif),couverture ciblée (dérivé)
klirun,v.stat,être bleu,verbe statif,racine,couverture ciblée
hilmun,n,"milieu, centre",nom,racine,couverture ciblée
stalpun,v,"proposer, suggérer",radical verbal,racine,couverture ciblée
stalpunut,n,proposition,nom,stalpun + -ut (résultatif),couverture ciblée (dérivé)
xilmuk,n,"contact, toucher",nom,racine,couverture ciblée
